Induced Current (μA),Frames Taken (1/30 s),Starting Point (cm),Ending Point (cm),0.01*|S-E|/f*30 (m/s) 
0.6±19.167%,18.0±11.111%,32.8±0.61%,26.7±0.749%,0.102±31.637%
0.7±16.786%,20.0±10.0%,27.0±0.741%,36.3±0.551%,0.14±28.078%
0.1±102.5%,21.0±9.524%,33.0±0.606%,26.8±0.746%,0.089±113.376%
0.3±35.833%,23.0±8.696%,27.0±0.741%,34.8±0.575%,0.102±45.845%
0.5±22.5%,18.0±11.111%,35.0±0.571%,26.8±0.746%,0.137±34.928%
0.6±19.167%,17.0±11.765%,26.8±0.746%,33.8±0.592%,0.124±32.27%
0.5±22.5%,18.0±11.111%,32.0±0.625%,26.5±0.755%,0.092±34.991%
0.3±35.833%,21.0±9.524%,26.7±0.749%,34.4±0.581%,0.11±46.687%
0.5±22.5%,16.0±12.5%,32.5±0.615%,26.1±0.766%,0.12±36.381%
3.3±5.53%,17.0±11.765%,26.0±0.769%,34.4±0.581%,0.148±18.645%
0.2±52.5%,23.0±8.696%,34.5±0.58%,26.0±0.769%,0.111±62.545%
3.0±5.833%,16.0±12.5%,26.0±0.769%,34.3±0.583%,0.156±19.685%
0.4±27.5%,17.0±11.765%,33.2±0.602%,26.2±0.763%,0.124±40.63%
3.5±5.357%,16.0±12.5%,26.5±0.755%,34.8±0.575%,0.156±19.187%
0.4±27.5%,15.0±13.333%,33.0±0.606%,26.5±0.755%,0.13±42.194%
0.5±22.5%,16.0±12.5%,26.4±0.758%,33.5±0.597%,0.133±36.355%
0.3±35.833%,18.0±11.111%,33.0±0.606%,26.7±0.749%,0.105±48.299%
0.4±27.5%,22.0±9.091%,26.8±0.746%,34.5±0.58%,0.105±37.917%
0.5±22.5%,18.0±11.111%,33.5±0.597%,26.5±0.755%,0.117±34.963%
0.3±35.833%,18.0±11.111%,26.5±0.755%,38.0±0.526%,0.192±48.225%
0.6±19.167%,18.0±11.111%,35.5±0.563%,26.5±0.755%,0.15±31.596%
0.3±35.833%,20.0±10.0%,33.5±0.597%,27.0±0.741%,0.098±47.171%
0.5±22.5%,20.0±10.0%,26.8±0.746%,36.2±0.552%,0.141±33.798%
0.4±27.5%,21.0±9.524%,34.0±0.588%,26.4±0.758%,0.109±38.37%
0.5±22.5%,17.0±11.765%,26.5±0.755%,38.0±0.526%,0.203±35.546%
0.4±27.5%,17.0±11.765%,34.0±0.588%,26.3±0.76%,0.136±40.613%
0.5±22.5%,17.0±11.765%,27.0±0.741%,37.7±0.531%,0.189±35.537%
0.3±35.833%,23.0±8.696%,34.5±0.58%,26.2±0.763%,0.108±45.872%
0.6±19.167%,14.0±14.286%,26.2±0.763%,38.0±0.526%,0.253±34.742%
